G0   G1   G2   G3   n2   n10   n11   |   G17   G10   G13   n1   
1    0    1    1    1    1     1     |   1     1     0     0    
1    1    0    0    0    0     0     |   1     1     1     0    
1    1    0    0    0    0     1     |   1     1     1     0    
1    1    0    0    0    1     0     |   1     1     1     0    
1    1    0    0    0    1     1     |   1     1     1     0    
1    1    0    0    1    0     0     |   1     1     1     0    
1    1    0    0    1    0     1     |   1     1     1     0    
1    1    0    0    1    1     0     |   1     1     1     0    
1    1    0    0    1    1     1     |   1     1     1     0    
1    1    0    1    0    0     0     |   1     1     1     0    
1    1    0    1    0    0     1     |   1     1     1     0    
1    1    0    1    0    1     0     |   1     1     1     0    
1    1    0    1    0    1     1     |   1     1     1     0    
1    1    0    1    1    0     0     |   1     1     1     0    
1    1    0    1    1    0     1     |   1     1     1     0    
1    1    0    1    1    1     0     |   1     1     1     0    
1    1    0    1    1    1     1     |   1     1     1     0    
1    1    1    0    0    0     0     |   1     1     0     0    
1    1    1    0    0    0     1     |   1     1     0     0    
1    1    1    0    0    1     0     |   1     1     0     0    
1    1    1    0    0    1     1     |   1     1     0     0    
1    1    1    0    1    0     0     |   1     1     0     0    
1    1    1    0    1    0     1     |   1     1     0     0    
1    1    1    0    1    1     0     |   1     1     0     0    
1    1    1    0    1    1     1     |   1     1     0     0    
1    1    1    1    0    0     0     |   1     1     0     0    
1    1    1    1    0    0     1     |   1     1     0     0    
1    1    1    1    0    1     0     |   1     1     0     0    
1    1    1    1    0    1     1     |   1     1     0     0    
1    1    1    1    1    0     0     |   1     1     0     0    
1    1    1    1    1    0     1     |   1     1     0     0    
1    1    1    1    1    1     0     |   1     1     0     0    
1    1    1    1    1    1     1     |   1     1     0     0    
